Feature,Avg_Gradient,Gradient_Trend_Slope,Abs_Avg_Gradient,Primary_Category
oneway,0.01844037,-0.004278441789475355,0.01844037,oneway
square,-0.15924233,0.0025713767390698186,0.15924233,place
locality,-0.1187497,0.00856939967665257,0.1187497,place
transformer,-0.09174154,0.00022697964062293397,0.09174154,power
substation,-0.040550966,0.005371099863568265,0.040550966,power
cable_distribution,-0.02797644,3.986205962119687e-05,0.02797644,power
stop_position,-0.006356932,-0.0031771946698427207,0.006356932,public_transport
subway_entrance,-0.1439913,-0.0020451498951650033,0.1439913,railway
platform,-0.081057765,-0.004365344322992094,0.081057765,railway
subway,0.05056481,0.0012920142669992692,0.05056481,railway
crossing,0.004472978,0.0012296535215820335,0.004472978,railway
switch,-8.846039e-05,0.001492904121705303,8.846039e-05,railway
reversed,0.017095491,0.004682444727443384,0.017095491,reversed
gate,-0.046530757,0.0034341440514915372,0.046530757,service
health_food,-0.1379364,0.0007738899279061256,0.1379364,shop
paint,-0.084870614,-0.0009911732705817982,0.084870614,shop
chemist,0.07620179,-0.0009876736072879852,0.07620179,shop
hairdresser,-0.069755234,0.0048479899792282875,0.069755234,shop
bicycle,0.05697617,0.0002981572524841989,0.05697617,shop
houseware,-0.05606286,0.00035640588241883284,0.05606286,shop
travel_agency,-0.05227091,-0.0019900779211611454,0.05227091,shop
gift,-0.045353785,-0.001509915501105063,0.045353785,shop
greengrocer,0.041497633,0.0027107225953262645,0.041497633,shop
beauty,0.037985552,0.0012283792814493856,0.037985552,shop
fashion_accessories,-0.03779501,-0.0007648259190980092,0.03779501,shop
seafood,-0.03361732,-0.00011281604511719764,0.03361732,shop
interior_decoration,-0.03153016,-0.002750742268946135,0.03153016,shop
sewing,0.018745834,-0.0002073308675211262,0.018745834,shop
clothes,-0.01772841,-1.032308421351639e-05,0.01772841,shop
alcohol,-0.017327305,0.0002992942675270816,0.017327305,shop
bag,-0.016000992,-9.38562561659086e-05,0.016000992,shop
deli,-0.015377226,0.002064678916764079,0.015377226,shop
photo,0.010802152,0.0005396624377956893,0.010802152,shop
shoes,0.009045226,-0.001147237810955355,0.009045226,shop
convenience,0.006686224,0.001120020634720497,0.006686224,shop
florist,-0.0065115253,0.0003604449685416045,0.0065115253,shop
computer,-0.0062055364,0.0006158848286070156,0.0062055364,shop
copyshop,0.0054859505,0.0003864756400809822,0.0054859505,shop
jewelry,0.00446393,-0.0035023273928373147,0.00446393,shop
games,0.003333537,-0.0010464694950673167,0.003333537,shop
hifi,-0.002610943,-0.0007539995236914945,0.002610943,shop
tattoo,-0.0024527414,-0.000481249801250118,0.0024527414,shop
mobile_phone,-0.0007171637,0.00283909702786442,0.0007171637,shop
yes,0.0053814803,-0.0020821227797899735,0.0053814803,tourism
basin,-0.0019323898,-2.02524998409596e-05,0.0019323898,water
width,-0.005435871,-0.003769548329044925,0.005435871,width
